wavelength,absorption,publication,medium,attenuation,scattering,attenuation_error,absorption_error,measurement
330.0,0.016,buiteveld94,pure water,,,,,
332.0,0.0151,buiteveld94,pure water,,,,,
334.0,0.0142,buiteveld94,pure water,,,,,
336.0,0.0134,buiteveld94,pure water,,,,,
338.0,0.0127,buiteveld94,pure water,,,,,
340.0,0.0119,buiteveld94,pure water,,,,,
342.0,0.0113,buiteveld94,pure water,,,,,
344.0,0.0107,buiteveld94,pure water,,,,,
346.0,0.0101,buiteveld94,pure water,,,,,
348.0,0.009600000000000001,buiteveld94,pure water,,,,,
350.0,0.0091,buiteveld94,pure water,,,,,
352.0,0.0086,buiteveld94,pure water,,,,,
354.0,0.0082,buiteveld94,pure water,,,,,
356.0,0.0078,buiteveld94,pure water,,,,,
358.0,0.0075,buiteveld94,pure water,,,,,
360.0,0.0071,buiteveld94,pure water,,,,,
362.0,0.0069,buiteveld94,pure water,,,,,
364.0,0.006600000000000001,buiteveld94,pure water,,,,,
366.0,0.0063999999999999994,buiteveld94,pure water,,,,,
368.0,0.006200000000000001,buiteveld94,pure water,,,,,
370.0,0.006,buiteveld94,pure water,,,,,
372.0,0.0058,buiteveld94,pure water,,,,,
374.0,0.0057,buiteveld94,pure water,,,,,
376.0,0.0056,buiteveld94,pure water,,,,,
378.0,0.0055000000000000005,buiteveld94,pure water,,,,,
380.0,0.005399999999999999,buiteveld94,pure water,,,,,
382.0,0.005399999999999999,buiteveld94,pure water,,,,,
384.0,0.0053,buiteveld94,pure water,,,,,
386.0,0.0053,buiteveld94,pure water,,,,,
388.0,0.0053,buiteveld94,pure water,,,,,
390.0,0.005399999999999999,buiteveld94,pure water,,,,,
392.0,0.005399999999999999,buiteveld94,pure water,,,,,
394.0,0.005399999999999999,buiteveld94,pure water,,,,,
396.0,0.0055000000000000005,buiteveld94,pure water,,,,,
398.0,0.0056,buiteveld94,pure water,,,,,
400.0,0.0058,buiteveld94,pure water,,,,,
402.0,0.0059,buiteveld94,pure water,,,,,
404.0,0.0060999999999999995,buiteveld94,pure water,,,,,
406.0,0.0063,buiteveld94,pure water,,,,,
408.0,0.0065,buiteveld94,pure water,,,,,
410.0,0.0067,buiteveld94,pure water,,,,,
412.0,0.0069,buiteveld94,pure water,,,,,
414.0,0.0072,buiteveld94,pure water,,,,,
416.0,0.0073999999999999995,buiteveld94,pure water,,,,,
418.0,0.007600000000000001,buiteveld94,pure water,,,,,
420.0,0.007899999999999999,buiteveld94,pure water,,,,,
422.0,0.0082,buiteveld94,pure water,,,,,
424.0,0.0084,buiteveld94,pure water,,,,,
426.0,0.0087,buiteveld94,pure water,,,,,
428.0,0.0089,buiteveld94,pure water,,,,,
430.0,0.0092,buiteveld94,pure water,,,,,
432.0,0.009399999999999999,buiteveld94,pure water,,,,,
434.0,0.0097,buiteveld94,pure water,,,,,
436.0,0.009899999999999999,buiteveld94,pure water,,,,,
438.0,0.0102,buiteveld94,pure water,,,,,
440.0,0.0104,buiteveld94,pure water,,,,,
442.0,0.0106,buiteveld94,pure water,,,,,
444.0,0.010799999999999999,buiteveld94,pure water,,,,,
446.0,0.011000000000000001,buiteveld94,pure water,,,,,
448.0,0.0112,buiteveld94,pure water,,,,,
450.0,0.0114,buiteveld94,pure water,,,,,
452.0,0.0116,buiteveld94,pure water,,,,,
454.0,0.0118,buiteveld94,pure water,,,,,
