# Action spectra of TEMIS UV v2.0 data products
# ---------------------------------------------
#
# Implemented in TEMIS UV v2.0 processing:
#   Erythemal  = CIE-98, cf. Webb, A.R. et al. (2011)
#   Vitamin-D  = CIE-174, cf. Bouillon, R. et al. (2006)
#   DNA-damage = Setlow, R.B. (1974)
#                Bernhard, G. and Seckmeyer, G. (1997)
#
# For more information, see
# http://www.temis.nl/uvradiation/product/action.html
#
#
# Action spectrum data at 0.1 nm interval, produced from
# the implementation by Marc Allaart (KNMI, April 2017).
#
#
#
,wavelength,Erythemal,DNA-damage,Vitamin-D
246,274.6,1.0,23.5079,0.3058
247,274.7,1.0,23.4397,0.3086
248,274.8,1.0,23.3708,0.311401
249,274.9,1.0,23.3016,0.3142
250,275.0,1.0,23.2317,0.317
251,275.1,1.0,23.1613,0.3199
252,275.2,1.0,23.0904,0.3228
253,275.3,1.0,23.0189,0.325701
254,275.4,1.0,22.9469,0.3286
255,275.5,1.0,22.8744,0.3315
256,275.6,1.0,22.8013,0.3344
257,275.7,1.0,22.7277,0.3373
258,275.8,1.0,22.6535,0.340201
259,275.9,1.0,22.5788,0.3431
260,276.0,1.0,22.5035,0.346
261,276.1,1.0,22.4277,0.349
262,276.2,1.0,22.3513,0.352
263,276.3,1.0,22.2744,0.355001
264,276.4,1.0,22.1969,0.358
265,276.5,1.0,22.1189,0.361
266,276.6,1.0,22.0403,0.364
267,276.7,1.0,21.9612,0.367
268,276.8,1.0,21.8815,0.370001
269,276.9,1.0,21.8013,0.373
270,277.0,1.0,21.7205,0.376
271,277.1,1.0,21.6392,0.3792
272,277.2,1.0,21.5573,0.3824
273,277.3,1.0,21.4748,0.385601
274,277.4,1.0,21.3919,0.3888
275,277.5,1.0,21.3083,0.392
276,277.6,1.0,21.2242,0.3952
277,277.7,1.0,21.1396,0.3984
278,277.8,1.0,21.0543,0.401601
279,277.9,1.0,20.9686,0.4048
280,278.0,1.0,20.8823,0.408
281,278.1,1.0,20.7955,0.4112
282,278.2,1.0,20.708,0.4144
283,278.3,1.0,20.6201,0.417601
284,278.4,1.0,20.5316,0.4208
285,278.5,1.0,20.4425,0.424
286,278.6,1.0,20.353,0.4272
287,278.7,1.0,20.2628,0.4304
288,278.8,1.0,20.1721,0.433601
289,278.9,1.0,20.081,0.4368
290,279.0,1.0,19.9892,0.44
291,279.1,1.0,19.8969,0.4434
292,279.2,1.0,19.8041,0.4468
293,279.3,1.0,19.7107,0.450201
294,279.4,1.0,19.6169,0.4536
295,279.5,1.0,19.5225,0.457
296,279.6,1.0,19.4276,0.4604
297,279.7,1.0,19.3321,0.4638
298,279.8,1.0,19.2361,0.467201
299,279.9,1.0,19.1397,0.4706
300,280.0,1.0,19.0427,0.474
301,280.1,1.0,18.9451,0.4809
302,280.2,1.0,18.8471,0.487801
303,280.3,1.0,18.7486,0.494701
304,280.4,1.0,18.6496,0.5016
305,280.5,1.0,18.5501,0.5085
306,280.6,1.0,18.4501,0.5154
307,280.7,1.0,18.3496,0.522301
308,280.8,1.0,18.2486,0.529201
309,280.9,1.0,18.1472,0.5361
310,281.0,1.0,18.0453,0.543
311,281.1,1.0,17.9429,0.547
312,281.2,1.0,17.84,0.551
313,281.3,1.0,17.7367,0.555001
314,281.4,1.0,17.6329,0.559
315,281.5,1.0,17.5287,0.563
316,281.6,1.0,17.424,0.567
317,281.7,1.0,17.3189,0.571001
318,281.8,1.0,17.2134,0.575001
319,281.9,1.0,17.1074,0.579
320,282.0,1.0,17.001,0.583
321,282.1,1.0,16.8942,0.5864
322,282.2,1.0,16.787,0.5898
323,282.3,1.0,16.6794,0.593201
324,282.4,1.0,16.5714,0.5966
325,282.5,1.0,16.463,0.6
326,282.6,1.0,16.3542,0.6034
327,282.7,1.0,16.245,0.6068
328,282.8,1.0,16.1355,0.610201
329,282.9,1.0,16.0257,0.6136
330,283.0,1.0,15.9154,0.617
331,283.1,1.0,15.8048,0.6205
332,283.2,1.0,15.6939,0.624
333,283.3,1.0,15.5827,0.627501
334,283.4,1.0,15.4711,0.631
335,283.5,1.0,15.3592,0.6345
336,283.6,1.0,15.2471,0.638
337,283.7,1.0,15.1346,0.6415
338,283.8,1.0,15.0218,0.645001
339,283.9,1.0,14.9088,0.6485
340,284.0,1.0,14.7955,0.652
341,284.1,1.0,14.6819,0.6557
342,284.2,1.0,14.5681,0.6594
343,284.3,1.0,14.4541,0.663101
344,284.4,1.0,14.3398,0.6668
345,284.5,1.0,14.2253,0.6705
346,284.6,1.0,14.1106,0.6742
347,284.7,1.0,13.9957,0.6779
348,284.8,1.0,13.8806,0.681601
349,284.9,1.0,13.7654,0.6853
350,285.0,1.0,13.6499,0.689
351,285.1,1.0,13.5343,0.6926
352,285.2,1.0,13.4186,0.6962
353,285.3,1.0,13.3027,0.699801
354,285.4,1.0,13.1868,0.7034
355,285.5,1.0,13.0706,0.707
356,285.6,1.0,12.9544,0.7106
357,285.7,1.0,12.8381,0.7142
358,285.8,1.0,12.7218,0.717801
359,285.9,1.0,12.6054,0.7214
360,286.0,1.0,12.4889,0.725
361,286.1,1.0,12.3724,0.7288
362,286.2,1.0,12.2558,0.7326
363,286.3,1.0,12.1393,0.736401
364,286.4,1.0,12.0227,0.7402
365,286.5,1.0,11.9062,0.744
366,286.6,1.0,11.7896,0.7478
367,286.7,1.0,11.6731,0.7516
368,286.8,1.0,11.5567,0.755401
369,286.9,1.0,11.4403,0.7592
370,287.0,1.0,11.324,0.763
371,287.1,1.0,11.2078,0.7672
372,287.2,1.0,11.0917,0.771401
373,287.3,1.0,10.9756,0.775601
374,287.4,1.0,10.8598,0.7798
375,287.5,1.0,10.7441,0.784
376,287.6,1.0,10.6285,0.7882
377,287.7,1.0,10.5131,0.7924
378,287.8,1.0,10.3978,0.796601
379,287.9,1.0,10.2828,0.8008
380,288.0,1.0,10.168,0.805
381,288.1,1.0,10.0534,0.8087
382,288.2,1.0,9.93902,0.8124
383,288.3,1.0,9.82491,0.816101
384,288.4,1.0,9.71108,0.8198
385,288.5,1.0,9.59751,0.8235
386,288.6,1.0,9.48423,0.8272
387,288.7,1.0,9.37125,0.8309
388,288.8,1.0,9.25859,0.834601
389,288.9,1.0,9.14629,0.8383
390,289.0,1.0,9.03431,0.842
391,289.1,1.0,8.9227,0.8456
392,289.2,1.0,8.81146,0.8492
393,289.3,1.0,8.7006,0.852801
394,289.4,1.0,8.59018,0.8564
395,289.5,1.0,8.48014,0.86
396,289.6,1.0,8.37053,0.8636
397,289.7,1.0,8.26137,0.8672
398,289.8,1.0,8.15266,0.870801
399,289.9,1.0,8.04444,0.8744
400,290.0,1.0,7.93669,0.878
401,290.1,1.0,7.82943,0.8805
402,290.2,1.0,7.72267,0.883
403,290.3,1.0,7.61644,0.8855
404,290.4,1.0,7.51077,0.888
405,290.5,1.0,7.40562,0.8905
406,290.6,1.0,7.30102,0.893
407,290.7,1.0,7.19699,0.8955
408,290.8,1.0,7.09356,0.898
409,290.9,1.0,6.99075,0.9005
410,291.0,1.0,6.88852,0.903
411,291.1,1.0,6.7869,0.9055
412,291.2,1.0,6.68592,0.908
413,291.3,1.0,6.58558,0.9105
414,291.4,1.0,6.48593,0.913
415,291.5,1.0,6.38691,0.9155
416,291.6,1.0,6.28857,0.918
417,291.7,1.0,6.19092,0.9205
418,291.8,1.0,6.09396,0.923
419,291.9,1.0,5.99775,0.9255
420,292.0,1.0,5.90222,0.928
421,292.1,1.0,5.80742,0.9304
422,292.2,1.0,5.71337,0.9328
423,292.3,1.0,5.62006,0.9352
424,292.4,1.0,5.52754,0.9376
425,292.5,1.0,5.43575,0.94
426,292.6,1.0,5.34474,0.9424
427,292.7,1.0,5.25451,0.9448
428,292.8,1.0,5.16508,0.9472
429,292.9,1.0,5.07647,0.9496
430,293.0,1.0,4.98864,0.952
431,293.1,1.0,4.90163,0.9544
432,293.2,1.0,4.81544,0.9568
433,293.3,1.0,4.73009,0.959201
434,293.4,1.0,4.64559,0.9616
435,293.5,1.0,4.56192,0.964
436,293.6,1.0,4.47908,0.9664
437,293.7,1.0,4.39711,0.9688
438,293.8,1.0,4.316,0.9712
439,293.9,1.0,4.23577,0.9736
440,294.0,1.0,4.1564,0.976
441,294.1,1.0,4.0779,0.9767
442,294.2,1.0,4.00028,0.9774
443,294.3,1.0,3.92354,0.9781
444,294.4,1.0,3.84772,0.9788
445,294.5,1.0,3.77276,0.9795
446,294.6,1.0,3.6987,0.9802
447,294.7,1.0,3.62553,0.9809
448,294.8,1.0,3.55327,0.9816
449,294.9,1.0,3.48193,0.9823
450,295.0,1.0,3.41146,0.983
451,295.1,1.0,3.34191,0.9837
452,295.2,1.0,3.27327,0.9844
453,295.3,1.0,3.20553,0.9851
454,295.4,1.0,3.13872,0.9858
455,295.5,1.0,3.0728,0.9865
456,295.6,1.0,3.00779,0.9872
457,295.7,1.0,2.94369,0.9879
458,295.8,1.0,2.8805,0.9886
459,295.9,1.0,2.81823,0.9893
460,296.0,1.0,2.75686,0.99
461,296.1,1.0,2.69638,0.9906
462,296.2,1.0,2.63681,0.9912
463,296.3,1.0,2.57814,0.9918
464,296.4,1.0,2.52039,0.9924
465,296.5,1.0,2.46352,0.993
466,296.6,1.0,2.40755,0.9936
467,296.7,1.0,2.35246,0.9942
468,296.8,1.0,2.29826,0.9948
469,296.9,1.0,2.24496,0.9954
470,297.0,1.0,2.19253,0.996
